"nome_uf","nome_mun","cnes","tipo_cnes","vinc_sus","n_cnes","tipopremat_espontaneo","tipopremat_eletivo","consprenat_menor_que_6_consultas","indice_de_gini_2010_municipio","idhm_2010_municipio","cluster"
"ESPIRITO SANTO","SAO MATEUS","7914075","Urbano","0",405,0.091358024691358,0.0987654320987654,0.0666666666666667,0.57,0.735,"1"
"ESPIRITO SANTO","SERRA","2485966","Urbano","1",3030,0.0102310231023102,0.00198019801980198,0.270627062706271,0.47,0.739,"2"
"ESPIRITO SANTO","SERRA","2547058","Urbano","0",509,0.0805500982318271,0.0432220039292731,0.0510805500982318,0.47,0.739,"2"
"ESPIRITO SANTO","SERRA","3450198","Urbano","1",1839,0.0560087003806417,0.0657966286025014,0.0712343665035345,0.47,0.739,"2"
"ESPIRITO SANTO","SERRA","7257406","Urbano","1",2135,0.203747072599532,0.330210772833724,0.333021077283372,0.47,0.739,"1"
"ESPIRITO SANTO","VENDA NOVA DO IMIGRANTE","2403331","Rural","1",663,0.0422322775263952,0.0120663650075415,0.107088989441931,0.52,0.728,"2"
"ESPIRITO SANTO","VILA VELHA","2465787","Urbano","1",1083,0.0156971375807941,0.000923361034164358,0.393351800554017,0.56,0.8,"2"
"ESPIRITO SANTO","VILA VELHA","2678179","Urbano","1",2817,0.0585729499467519,0.0351437699680511,0.370252041178559,0.56,0.8,"4"
"ESPIRITO SANTO","VILA VELHA","3421597","Urbano","0",785,0.0331210191082803,0.0878980891719745,0.0585987261146497,0.56,0.8,"1"
"ESPIRITO SANTO","VILA VELHA","3537943","Urbano","1",620,0.0370967741935484,0.0532258064516129,0.0870967741935484,0.56,0.8,"1"
"ESPIRITO SANTO","VILA VELHA","5417139","Urbano","1",554,0.0505415162454874,0.0722021660649819,0.111913357400722,0.56,0.8,"1"
"ESPIRITO SANTO","VITORIA","11843","Urbano","1",3486,0.025530694205393,0.00803212851405622,0.201950659781985,0.6,0.845,"4"
"ESPIRITO SANTO","VITORIA","3188213","Urbano","0",1718,0.0384167636786962,0.0535506402793946,0.0180442374854482,0.6,0.845,"1"
"ESPIRITO SANTO","VITORIA","3530159","Urbano","0",360,0.0472222222222222,0.0166666666666667,0.0305555555555556,0.6,0.845,"2"
"ESPIRITO SANTO","VITORIA","4044916","Urbano","1",1003,0.0667996011964108,0.205383848454636,0.220338983050847,0.6,0.845,"1"
"ESPIRITO SANTO","VITORIA","7581467","Urbano","0",2300,0.0547826086956522,0.0630434782608696,0.0430434782608696,0.6,0.845,"1"
"RIO DE JANEIRO","ANGRA DOS REIS","2280868","Urbano","1",1951,0.0420297283444388,0.0871348026652998,0.20041004613019,0.5,0.724,"1"
"RIO DE JANEIRO","ANGRA DOS REIS","2281384","Urbano","1",118,0.076271186440678,0.0169491525423729,0.101694915254237,0.5,0.724,"2"
"RIO DE JANEIRO","ANGRA DOS REIS","7354746","Urbano","1",53,0.0943396226415094,0.0377358490566038,0.150943396226415,0.5,0.724,"2"
"RIO DE JANEIRO","APERIBE","2267454","Inter.","1",65,0.0461538461538462,0.0461538461538462,0.353846153846154,0.43,0.692,"2"
"RIO DE JANEIRO","ARARUAMA","221015","Urbano","1",609,0.0574712643678161,0.0328407224958949,0.246305418719212,0.54,0.718,"2"
"RIO DE JANEIRO","ARARUAMA","3111369","Urbano","0",30,0.0333333333333333,0.133333333333333,0.0333333333333333,0.54,0.718,"1"
"RIO DE JANEIRO","ARARUAMA","3988732","Urbano","0",156,0.032051282051282,0.032051282051282,0.0256410256410256,0.54,0.718,"2"
"RIO DE JANEIRO","ARMACAO DOS BUZIOS","6200702","Urbano","1",574,0.0801393728222996,0.0452961672473868,0.207317073170732,0.51,0.728,"2"
"RIO DE JANEIRO","ARRAIAL DO CABO","2267802","Urbano","1",249,0.0481927710843374,0.00803212851405622,0.309236947791165,0.47,0.733,"2"
"RIO DE JANEIRO","BARRA DO PIRAI","2287927","Urbano","1",672,0.0520833333333333,0.00595238095238095,0.239583333333333,0.51,0.733,"2"
"RIO DE JANEIRO","BARRA MANSA","2280051","Urbano","1",163,0.0306748466257669,0.0552147239263804,0.049079754601227,0.48,0.729,"2"
"RIO DE JANEIRO","BARRA MANSA","2296977","Urbano","0",357,0.0224089635854342,0.0980392156862745,0.0840336134453782,0.48,0.729,"1"
"RIO DE JANEIRO","BELFORD ROXO","379883","Urbano","1",283,0.00353356890459364,0.0176678445229682,0.109540636042403,0.42,0.684,"2"
"RIO DE JANEIRO","BELFORD ROXO","2296764","Urbano","1",1693,0.00177200236266982,0.0342587123449498,0.196101594802126,0.42,0.684,"2"
"RIO DE JANEIRO","BOM JESUS DO ITABAPOANA","2696940","Urbano","1",644,0.0326086956521739,0.0170807453416149,0.144409937888199,0.56,0.732,"2"
"RIO DE JANEIRO","CABO FRIO","2278286","Urbano","1",399,0.0150375939849624,0.075187969924812,0.012531328320802,0.54,0.735,"1"
"RIO DE JANEIRO","CABO FRIO","5903394","Urbano","1",1734,0.0847750865051903,0.02479815455594,0.307958477508651,0.54,0.735,"3"
"RIO DE JANEIRO","CACHOEIRAS DE MACACU","2696924","Urbano","1",525,0.0457142857142857,0.0114285714285714,0.432380952380952,0.49,0.7,"3"
"RIO DE JANEIRO","CAMPOS DOS GOYTACAZES","2287250","Urbano","1",1584,0.0391414141414141,0.0113636363636364,0.21780303030303,0.55,0.716,"2"
